Syllables,Cumulative FREQcount
ɣɑrts,63
 vɛɪt,20
stɪlz ,63
strɵpps,1
frɪsk,1
 brəns,1
 stɪz ,1
brɑjt,20
skrɑtx ,15
 taːlk ,1
dɑrsh ,2
 toːjt,286
ɣeːn,173612
khɛn ,2
lɣbi,20
 lɑŋt,328
 ʋɛls,73
ɛrz ,133
 koːt ,5
ʋɔː ,1
 plɑn,2288
keːk,3594
lur,4103
 fɛɪnts,2
 jun,6001
 røːh,1
 sɑnt ,32
ʃɔrk,2
rɑb ,98
nɔks,165
hɑlr,1
 sxœyf,63
 jɵlx,12
 ʃɑs ,15
nɑjʃ,7
ɣlɛɪk,2
slœytʲ ,10
veːlj ,8
 ɣaːr,745
tɑz ,6
nɛrts,104
 vlɪn,131
 dɛrfs,1
jɵxs,7
 fraːkt,2
mɔtk,1
 zish ,16
kaːs,1655
treːn,1163
tsɛt ,1
tɑnts,106
lɛfh ,3
plɑŋk,811
 sfeːl,146
 plʌʊs ,49
leːsx ,8
mɛrt,639
rɔlk ,1
 lɑndz ,15
døːx,738
 zir ,53
 ɣɛd ,18
frɪs,619
vrɑjts,2
kʋɑrtfl ,1
kraːx ,1
ʋaːls,17
krɛʋ ,33
 sxɛʋ ,3
sny ,2
 proːf,9
plɛɪ,2754
sɵp,86
 drɪŋk ,9
 blɑnt,5
vlɔkt,2
sxɑl ,15
 daːlt,169
 flurst,4
 stœyk,103
 pɛt ,45
 baːrs ,1
hɔx ,8
 ʋaːrsxljnljkh ,1
 kraːx,13
jɛf ,2
 krɪl,9
dɛŋk ,818
 tɔxs,170
ɑmb ,587
 blɛmn,1
 peːʃ,1
bɑnlŋ,3
 sfɔŋk,3
 nən ,9940
msɪn ,2
rlsə,1
sxɔl,254
møːk ,2
vɪŋ,12446
skɪ ,490
 kreːft ,3
daːxs,120
 bɔwl ,1
dɪtʲ ,32
fu ,917
sti ,10855
niwsh ,9
 lɑl,587
 zɛml ,1
ɣeːk ,17
 sxoːts,30
jɑr,1515
 plɛs ,2
zœyt ,527
ɣɪlt,130
must,20348
dɵm,1810
 nɪtz ,1
bɵks,140
 ʋɛnsts,1
kzaː ,7
 mɵk ,8
 drɪŋ,2626
 skɵnstʲ ,3
 leːʃ,1
ɣriks,252
 sfɔs ,1
koːlst,1
knɛrpt,1
vrɵxt,634
hɛlf ,29
 kɑph ,1
 fɛhl,4
psɪx,3772
mɔm,458
ldɑs,1
 eːnt ,6
jɵr,3119
 sɵstft,1
strɪŋ,180
lɛnts,93
ʋɵrmh ,7
brɵm ,14
 stən,42866
 ɑnzh ,1
 dəs,3483
 vɛst ,3
 ɣrɑf,76
seːn ,11
 stər ,3556
 jɑv ,1
kɔːrts ,1
tʋeːt,248
 skrɑx,512
krɑʃ,197
vɪs ,235
bɔks ,65
sni,311
ɣlɛɪt,206
 ɣrup ,19
 løːk ,10
 paːtʲ ,8
 ɣɪŋs ,150
meːsx ,1
zɛ ,68079
 ɣɑŋst,50
mɔːrt,25601
 flɑŋk,88
sɛɪ,7394
nɔdlxt,3
 mə ,19595
 spaːn,66
kɵz ,62
dyrs,19
ʃɑw,569
nheː,7
 ɔkt,1
 draːv ,2
kiw ,53
ny ,13232
bɵhn ,1
dɪsks,48
krɵsh ,11
zɪ ,42467
krɛw,456
krɔft ,1
ʋeːsh ,309
fɪnx ,32
 fɛlf,15
hɑtx ,94
vɛrs,954
 frux,4
kult,206
 rɑŋsh ,1
 sxɔlf ,2
ɣœy ,903
 straːltʲ ,19
fɑjm,1
 ɔɣ ,1
ɣɑjn ,16
 plaː ,686
fɛŋ,92
kɔhn,42
spɔrt ,1101
 tɑz ,2
plɛk,9743
 vɛrfrl ,1
spɛtst,1
 sfeː ,82
knu ,156
 smɵt,6
 koː,64130
frɛp,3
ɵsmk,2
hɔlst,53
 prɪk,137
ɣmɑk,2
 brɪks,6
slstɛr,1
 trɛdlŋ ,1
 nɪː ,5468
hfoː,3
ʋɛɪz ,23
kɔk,2015
 bus,16
 lɑkk ,1
ɣeːl,564
lœyd ,328
vleː ,480
sxɔn ,228
 vɑj,64
 lɛɪnt,67
slnaː ,2
 vɔw ,1
 sxɔf ,60
bɵrnh ,23
 ɣlɪst,15
 rɛɪl,16
dɪrt,3571
 kɪːrsh ,9
 dɪst,127
zʋɛrfh ,47
koːp,9109
lɪmfk ,2
 kɪnt ,23
 lis,5562
 beːt,185
ɛɪh ,1254
 krɑʋ ,8
 raːr,3595
ɣɛɾ ,297
 baːls,1
 lɛz ,17
sxaː,17405
 dɑnts ,1
 vlɛkt,43
tris,1240
mɛr,21638
 smɪrt,10
rhi ,67
 trɑr ,1
krɑt,285
 drɛx ,39
 spɑks,1
dɔs,261
lbɵ ,2
draːj,7530
 mus ,8
ɔmh ,6243
vrɑ ,135
ɛɪl ,1037
 sɛnh ,192
 bur,326
 døːrs ,1
mɛɪt ,10
 mɛlk,320
 sloːft,31
aːnh ,1345
klɑz ,3
 baːr,16164
 kaːŋ ,8
sɔx ,6
ɣɛɪjz ,1
fry ,5
nɛm ,19
jnɛt,1
ɛlr,5
aːrt,35164
 sɵlts,1
steːŋ ,230
ɣʋɛn ,69
vɛrft,173
 ʋɛɪm,13
 stɑks,1
 nər,23708
ʌʊl,3460
 mɑs,1466
pɑɲsh ,1
ɣrɛts,1
 mɑt ,21
 dənt ,3
pɑjn,74
 ɣɛrst,1
 niws ,1
vɵns,5
 ʋɪr ,1
prɔfk ,1
 sxaːtst,20
ɛmk ,642
soːnxs,1
slɪŋ ,500
bmɛws,3
 brɑd ,1
ɛrd ,26
 bɔrstʲ ,39
kʌʊtʲ ,29
 pɛk,101
 frɑŋk,4
 tɛrw,1
feːk,131
 frɑn,101
tɪkt,866
 teʊ,2
ɣoːd ,222
lʋaː ,3
 jɵn,67
trɛnx ,5
tɛrm,328
sɑʋ ,8
bitʲ ,17
 kaːst,4
sxɑf,287
 snutʲ ,4
rɔd ,489
vir ,2073
 tɑx ,204
ɣɑɲ ,2
myrh ,1
ɣlɑm ,6
 sklə ,48
kutz ,1
sphɪnks,18
 ʋeːts,1
 stɑlh ,25
 nɛz ,54
zʋɑrts,27
 ruj,260
 tɑrktl ,2
fi ,20535
mɑlp,10
krɪmp,86
klɵs,2511
 vɪːrt ,1
 spɑ ,2922
dvaː,1
 klɑr ,1
 ɛŋstʲ ,1
 ʋɑxtʲ ,2
lɔk,5174
 brɑn,4069
 brɛk,709
flɔɾ ,6
rɑɣ ,376
lkpɑk ,2
pɵm ,35
ɪnz ,1721
 ɔk ,137
frɵx,13
 jaːrsk ,1
 sxək,30
fjɔrt,6
 vɔːɾ ,109
 zɑkk ,1
ʋhɪp,16
 trɪlt,1
 sloːtʲ ,1
 sɛpt ,5
rʌʊss,51
ʋɛlp,61
 sproː,8536
 raːdsh ,3
 ɣoː,9048
mɑjts,1
plɵn ,398
jaːpt,5
 stɑf ,20
 nut,1
 skʌʊn ,4
 fɛɪnt,78
 fɛllr ,1
 skɛs,1
 sɵlt ,3
klɔmp ,26
pœynh ,533
ltɑ ,4
brɑz ,7
 dɑrmp ,1
splɪt ,330
strɔt ,2
dɣɛn,1
brɪd ,909
 zɔt ,1
hɵʃ,10
strɛ ,501
 keːn ,2
zʋɑr ,5309
 ɣœyn,9
ɵnt ,401
ʃɪlts,23
xlɔːr ,10
mʌʊt,412
brɑ ,607
blaːk ,1
 rɑmp,66
frɑŋk,4808
zʋaːrs,82
 vrɑs,2
 slɑŋ ,239
rɔlts,13
drɵn ,3
 tɑmph ,4
 ɣrɛ ,1807
ʃɵt ,318
hɑpt,39
stɔt,9
sxrɛɪt,15
 mɛrks,1
ɣlɪks,2
pɑss,245
tlɑnt,1
bɑrl ,1
 ɣrɛɪp ,72
 sxɵl ,8124
 ɣrɪp,705
kɛls,248
ʋleː ,1
plɑjnz ,3
blɑm ,1
 kɑntz ,1
hɪnd ,27
ʃɪs ,2
 meːns,55
 flɛks,102
 krɔmt,4
pʌʊx ,26
 zɪst,40
vaːl,120
 blɑrt,1
prɪnsh ,4
 mənk ,22
 kœyts,4
vɛts,14
 saːh,31
 bɛd ,7
fɛr ,1530
 staːx,15
ɣu,200053
ɣɵ ,2464
ɑst,52135
 kɛr ,242
 strɪ ,118
 fɔrn ,9
 trɪp ,13
 sloːp,294
 plɛk ,233
stɪx,2696
leːk,5675
flœy ,1444
ɪs ,30104
kɵm ,111
tɑns,732
mɑrkh ,76
ʃɑ ,1327
 rɵf,5
tsy ,45
 skrɑx ,44
 but,84
 spɛt ,1
fɵd ,13
zaːl ,21
 vlɵx,1604
 nɔwt,1
lvɑnh ,1
 ɪːrs ,36
 krøːk,37
teːrz ,1
lfaː,4
dɪst,133
vaːxh ,3
 bəls,1054
fɛldh ,2
slɔɡ ,32
spoː ,4844
spirz ,2
 smeːl,5
kaːk,336
 dɛlsk ,1
 ɣlɵst,1
 pɛɪntʲ ,3
spɑ ,5263
pœyst,113
 ɵsw ,1
foːj ,1
hɔl,1169
bum,418
 stuːr,7
 lɪfs,7
ɣlɪtx,14
kɑrm,17
aːrtsh ,24
tɛɪltʲ ,5
 flɑks,1
 lu,2869
 lɑjrst,2
bɪɣz ,1
 dərsh ,52
 nɪrs,96
 sfɔrts,6
fraːjst,1
hɔx,63
ktɵlh ,1
 sʌʊs,229
kvɔn,14
 lœyts,2
hɔv ,47
 ɛss,13
ɣrɛɪt ,2
bɑjnt,1
 fɔf,1
ɣlaː ,1457
 ɣreːp ,2
 ɪtʲ ,15
vɔːrzlxtlx,5
 bɛh ,1
bɔns,360
 pɪ ,1450
 ɔrx ,1
 vœyst ,1
sxɑnd ,38
 fɛlh ,10
spraːk ,1725
flɪtsx ,2
 lɪp,1113
vvɛɪ ,1
drip ,1
 toːmt,6
kilh ,16
faːh ,13
 ʒik ,1
draːf,69
pum ,22
 pɔɣlŋ ,1
strɪps,139
drœyp,69
kim ,6
 krɑp,70
kikt,3
 tɛɪtsx ,4
 sloː,9974
blɔwtʲ ,8
 sxɪxt,30
lɪn,13720
ɪsh ,1900
ɣʌʊdmljn,1
 skɛ ,330
 tɑktʲ ,1
 slɛɪntʲ ,1
 drɑjnt,1
 drɵɣz ,1
 stɔb ,38
vu,69657
 vɔnth ,2
pɔf ,25
strɛtx,91
 vəns,4302
dɔm ,4690
pɔp ,673
 slɛm ,1
tɑl,10312
 rɑhs,23
tɑdz ,16
sxʋeː ,6
 sil ,2
 dɔb ,19
kɔpps,7
seːrl ,7
 vər ,61458
 rəns ,170
 nɔnz ,10
lɛɪd ,175
yf,1726
 ɑts,278
sɛnl ,2
kkɛk,1
ɪsx ,95
nvlut,1
ʃɔk ,58
 traːst,1
 leːvdh ,33
ɣɑrt ,45
jeːk,1
ɣraːts,55
sfɛŋ ,7
dvoː,3
nɛr ,8734
mɛɪns,98
sɑkr,1
pɔmp ,160
 zɛɣ ,321
 skɵnst,60
 tɛlh ,80
stoːk,149
pɪkz ,15
zɛnd ,112
 tɔrn,17
ʋu ,4170
slœyp ,278
bludljn,1
 spreːk ,65
krɑn ,1462
prɵts ,17
fœyft,2
lkbɑl,13
 sfɔm,1
hɑn,30107
 vɛnlrs,1
 vlɔn,3
 trɑmk,2
 vɔndsh ,7
 lɛnn ,2
 ɣɔns,132
 ɛlln ,10
 sxɛŋk ,48
knɛl,48
stɪn ,19
flɵrk,1
hukt,2
mɑxtsh ,7
ʃɪk ,17
tzɑk,1
 sɵlm,1
nfɛk ,3
 klər,103
 dɔph ,13
 skroː ,5
 trɛftr,1
tun ,177
 lɑp ,25
 dɑrs,74
dɑr ,1673
lʌʊx,64
hɵp ,64
ruj ,1069
dɑrn,8
ijkt,3
 nɑnt,3059
styrt,6030
 bɛɣl ,1
zʋeːf,212
 spɵtʲ ,13
aːt,392544
 splɪts,51
bɛɪl ,11
oːxt,840
 fleːs ,1
skɔtt ,57
 tɛŋlf,2
dɑxt,45303
 ɣlɪx ,5
 smɵntʲ ,3
 ʃi,3790
 mɑklŋ,2
 plɑŋ ,40
sly ,3
dɵnts,1
mɪːrtʲ ,42
tɑml,14
ɔrd ,179
dulwlt,1
zʋurt,1
 zɑɲ ,105
 deːlt ,2
ʋoːn ,4739
 skɛɪ,14
 ɔnt,704
 lɑrmk ,14
nɑrfs,1
ɣɑlɣ ,6
 ɣrɛs ,43
mɵɡ ,1
bɪpps,5
 dritʲ ,2
koːʃ,1
 brœynt,31
œytst ,1
rim ,56
ɣlɪns,14
 neːlsh ,3
 trə,915
zʋɛɪɣ ,51
ʃɑwsh ,15
 sxeːf,55
 mɔrph ,7
 klɛr,200
taː ,57317
 vɛɪf,122
 skɔlf,4
ɵhl,13
bɪŋks,22
slɵl ,11
 vɛrft,146
 bɔwl,23
drɛws,161
bɔŋk,98
 snɑp ,591
 beːlt,3975
 ʋik,83
lɵsk,24
 lɵmns,18
 sɵl,291
neːl ,1014
 seːhtʲ ,1
but ,33
dɛsh ,117
vɔŋk ,32
 sfɑhrt,5
 rəŋk ,30
 ɣaːl,1441
 noːn,4
 roːm ,17
 nœyltʲ ,1
 nɪf,13
klup,3
bujŋs,1
sɔʃ ,1
vərdwljn ,2
sxmɑ ,1
rɵkh ,1
din ,3861
ʋaːrt,8943
 smɑl,11
moːm ,1
 spɛxt,5
kɪŋs,301
kɑz ,31
rʌʊl ,1
 pɪɣ ,20
vɔr,6923
sprøːk ,2
 vɑlst,201
 lyrtʲ ,16
dɪmf,1
 ʃaːrt,5
ʋɵŋ,3
 drɑjts,1
 kloːn,102
 vlukt,545
 pɛrkt,393
ʋɛnh ,4
brʌʊt,20
strɪkt,920
 sprɛŋ ,31
 slœyk,20
klɑt ,9
lɑls,5
 reːls,17
 brœyk,13663
hɑwks,71
smɛlt,266
ɣraːŋ ,14
 bɔːrt,999
 mɛː ,114
mkmɵɾ ,7
 mə,357008
dɪnz ,1125
steːkh ,5
stin ,118
bɛf,154
 brœyks ,7
kveːn,389
zœypt,80
 tɔʃ,42
pluxt,29
ɛljs ,2
pɑnts,29
 pɛrls,1
hɪsh ,1
 rɛxtsp ,7
fɪrst,106
ɵsr,60
 sɪŋz ,18
kɔrs,162
 trɔnt,1
 kərst ,2
ɪnl,5
 streːl,33
prɑsh ,2
lɛɪm,710
slɛxt,16201
noːl,15
titʲ ,104
lmpɔ ,15
 prɛɪs,535
hhɛp,1
eːsrt,1
sɵt ,16
fɵx ,19
lzɛrt ,1
zʋɛlx ,1
 nʌʊ ,629
hɔpps,128
lʋaː,5
trɛft,2156
ʋɛɪn ,319
speː,37182
 zɵr,28
 rʌʊn,58
 filts,40
saɪ ,85
kɔp,15585
 proːm,4
 lɛɪsts,1
skeː,293
aːp ,3308
 ʃɪrt,65
 daːx ,213
mɛɪk ,5
 prɔk ,3
 dɑmn,2
 ɛː ,392
 lɑjs,152
 ʋɛlx,18
nøːn,2
lɑmps,20
pupx ,1
flɪpt,119
 smɔːrd ,2
maːnts,1
dɔts,20
 ʃlə ,800
hoːvdz ,1
paːlt,2004
rik,2525
spɔrt,2772
sɵts,1
krɪls,1
 muts,9
 nəs,3783
 pɵn,2284
pɑnx ,62
 kœy ,118
haːd ,1
ɔnzlxt ,7
 nɑlr,2
 sɪrt,4310
 ʃɛɪ,16
 kɵps,5
 mənts(nl),1
bɑʃ ,10
 ɣɛɪntʲ ,11
vruxx ,1
fɑp,12
 zɪnsh ,15
vɔlk,3799
leːs,7877
kʋɑl,80
ɣrɑnt ,5
 stɵŋ ,8
tɛnt ,2033
sʋɔ ,18
dɪksk ,1
 lɑnx ,82
 kraːk,219
pun,742
 lɔxs,335
bɛkh ,42
smɛɪt,142
dɵsh ,3
vlɛx,132
 vɔːr ,4314
 rɛɪŋk ,5
 saːk ,10
 jaːrs ,52
strɵl ,2
 krɑnt ,2
bəlx ,8
 ɔŋh ,6
ɣɑxh ,1
deːl ,3166
 bɔnd ,123
 zʌʊrs,6
lɔrts,37
krɪm,264
plɑsx ,2
ɑɣ ,7097
snɛɪ ,1858
psøː ,47
 vɑs,809
 klɛɪ ,165
ʋɪŋks,5
fɪl ,1839
tɵɾ ,3
 ɑr,9415
 deːx,30
 mɪr,2642
 saːls,1
 bɑlk ,98
 nʌʊs,27
roːf,1297
 myŋ ,1
bɑrk ,5
bɪː ,14559
stɑŋ,956
 kərsh ,29
kulh ,10
lsɪ ,4
 tɛsxlp,2
zɛlv ,16979
speːlzw ,1
 dɛtʲ ,8
ɣɔkh ,32
zɑlm,275
ʋɑhl,1
frɔntʲ ,5
 klɛɪft,4
puh,110
bøːr,42342
kɑh ,160
 spɪtst,15
 bɔɲ ,4
vɪʃ ,10
sʋeːt ,107
daːw ,18
 ʋɑk ,37
 tɑrs,21
 mɑss,16
nøːk,2726
 nɪŋsw ,2
ʋyh ,2
 sxɵb ,2
vɛrdr,2
 stɛl,11650
 bɪks,52
strɔkt,1
lɛɪ,199768
ʋɪk,694
 vaːrl,13
 smaːltʲ ,2
spɑtʲ ,17
 rɵps,9
sʌʊfl,1
 plɵl,27
hrɵn ,4
 sxoːlh ,4
seːl ,44
 ɛɪsh ,1
pɑls,4
pleː ,9392
vɪst,305
sxrɑŋk,3
dɑnt ,6
doːj,219
 pɵr,39
sxɛɪts,132
spyɣ ,198
 nəss,439
 ɑmt,3
 ʋɛɪx ,1
ɑjt,1314
kɔɾ ,2469
baːrt,1011
 kroː ,1587
 bik ,2
 mənsh ,1
 flœyk,6
sty ,16467
 ʋɑr,5175
brœyk ,2375
kseːk ,1
 plɪt,1
dumz ,13
 voːrt,45
 sɛnt ,279
 sklɔk ,3
drɛɪf,6436
ɑlts,227
zeːp,759
kɔd ,4
 pɑndh ,1
plaːj ,295
kvɑjt,30
 klɵtst,8
 zɪnk,3
 rɛd ,1
strɛp ,15
fɪtst,1
mktɑ ,12
skvɪ ,3
 snɛk,3
klɛɪ ,13200
 mɔrf,11
hɑrkt,2
ɛɪ ,400413
 snɵrk,30
 kɑlk,11
stuf ,1
 vɛnt,2598
bøːnt,1
mɪʃ ,29
lʋɔr,1
nmaː,2
ɪt,529092
snɛrt,26
 bloː,405
 smaːr ,4
heːn ,122
ʋɛrksx ,1
 floːp,573
tɛmp,34
 spɵlk,1
stɛɪ ,2014
 ʃe ,71
 ɣɵrt,6
 ɛŋst,95
 mɵnlstl ,1
slɪʃ,1
 ʃɪpt,27
mkaːj ,1
rɛɪɡ ,520
nɪɣnt,1
 stɵs,1494
 rɑf,4268
bɵf,15
 klɛk ,9
 lɛsk ,2
tʋaːlt,1
 tɪk ,48
 klɛzlŋz ,1
 ər ,1714
 pɔnt ,9
 lə ,143789
ɣrɛɪ ,7411
 zoː ,4500
sɔm ,624
 bɔss,6
lɪ ,29816
 fɛllm ,2
 snɛst,63
 plɪn,40
kraːn,490
 ɣrust,2
kty,166
 ɪːr,5466
kʋɑrk,57
tɛrts,12
wʋli,3
støːn ,233
sʌʊr,21
roːj ,86
brɛɪ ,860
fɔn,1689
drɔŋ ,6279
tut,964
 saːŋ ,32
sɵs,1217
 stœyn,50
 eːrs,1
fɛɪɲ ,2
 zɵs ,45
røːp,10
meː,185004
 reʊ ,61
 ɣɔsks,2
nɪːr,16494
rhɔn,68
 fløːrt,7
haːr,131477
 skoːpt,1
 trəntʲ ,1
laːv ,464
lɵd ,131
ɣɑrnl ,2
lɵp,3769
blɑdzlj ,1
 rɑss,2
 klɔwn,9
sprut,34
 lɵkl ,1
 frœymh ,1
 blɔx ,3
bərxh ,38
kaːh ,356
speːt ,10
ə ,2281166
hɔm,73
vrɔlj ,3
kʌʊlt,20
 ɣaːnts,6
vrɑt,95
ritʲ ,734
bœyɣ ,57
slɑjn,98
 krɛŋk ,9
 stɪŋ,2906
 rɪsk,13
ɣɔɡ ,1
tɑtx,69
mkkɑr ,93
 ɛldsx ,1
lnteːlt,1
 flɔŋ,4
stɪmph ,5
haːst ,12
bɔrst,1750
 jɛsh ,50
ɣaːt,105137
 jɑs ,26
blɛr,178
zʋeː,2507
sxɵlt ,2
 beː ,8230
khʌʊ ,9
 stɪnkt ,2
brɪx,301
spɔrts,45
blaː,6372
 ʋoː ,5070
it ,34527
blɛɪd ,138
slɑŋkh ,1
feːls,1
 vɪk,376
 pəŋ ,389
ɑmpsh ,24
 dɔmt ,1
 ɣɔʋ ,2
 snɪxt,6
ʋunz ,971
vrɛns,1
ʃil ,1
flɛz ,1
dɛr,22235
slɑm,272
 tit,1416
ɣɵlf,34
skɔ ,866
 drɔns,11
mitʲ ,944
 rər ,6
 ʋaːltʲ ,6
 nənx ,1
bɔŋkt,31
 ʃɵŋ ,4
 ɪŋkt,1
 sxaːk,12
 rhɛɪts,32
bətʋ ,1
 dɵkt ,20
 sənt,822
 lɵt ,5
kɔrst,108
 ɣleːh ,8
 bɔrst,120
 styʊ ,6
lmoː,36
dɵŋkh ,2
ʋɛɪxt,260
 ləns,2415
 lɑrts,15
 lɑm ,115
 krɔk,7
 zɑrs,133
 mɪtz ,4
kɔndlt ,1
 ʋaːjsh ,3
 ʃɛː ,19
tɔxt ,6
 kreːt,220
oːps,147
 mɔls,1
vɛrwjt,1
slaːpk ,7
døːɣ ,260
baːrt ,19
 stɛrs,245
puph ,10
dɔml ,2
 smaːr,182
sprɵxs,1
jeːps,25
brɵm,19
 føːn,10
vɛld ,505
 jʌʊr,35
 dɑm,2338
 pœylt,3
 nɪnh ,29
 ɣeːp,1
spɪːr,363
kaːrt ,197
saːj ,44
slɛɪt,308
brœys,48
 lɪst,1886
lɔŋs ,1
bɑv ,13
 vɑws,2
vərɣlftlɣ ,1
zoːltʲ ,3
 spɛrt,1270
 strɔj ,6
 puntʲ ,12
lɑdlŋ,3
pɑpsts,1
 voːstʲ ,1
 oːn ,2
 bɑs ,1
 kløːnt,1
lɪh ,1
 aːrdh ,1
kɵlts,2
haːtʲ ,10
xlus,1
ɔmsx ,424
krɔp,72
 sxər,173
streːl,215
 rɛsh ,8
dʋaːs,1009
ɣɔss,23
rul,20
sxɔftʲ ,3
 nɔst,18
ɪːrst,16800
rɔŋkt,17
kɛrks,3
 spəl ,2
 tɛɪd ,177
 fɔrd ,3
 peːns,2103
ɑfwljklŋ ,1
mɔnt,9667
 ʃɪːr ,10
ðə,3898
brɪŋk,25
 krɵk,37
puts ,34
 zɛrt ,33
ɛmh ,817
 ənz ,40
 nuns,1
tʋɪns,2
fɔkh ,3
 plɛɪ ,1386
 briksh ,2
ʃɔtx ,1
 stɵrk ,1
deːm ,1
nɑj,577
pit ,107
blɑh,79
 dɑhl,6
 tɛrɣ ,1
plɔt ,1233
sə,246755
 rəld ,9
 zɛlft,1
hɵttʲ ,3
 sxɵl,8621
 ɣɛnp,1
 sfir ,2
ɛɪnt,12116
ʃnɑps,25
bœyk,1722
vrɛ ,37
ʃeːh ,27
bəɣl ,6
praːj ,4
kɛrh ,13
 drɵf,13
dɛrsh ,11
 døːntʲ ,5
 kɵnst ,3
brɑjn,118
jaːrljk ,2
 kraːkt,158
zɑkh ,15
 səŋ ,417
dɛm,1819
 kiwk ,1
 røːr ,48
ɑpt,8257
 ɛs,3743
dɔrps,58
 neːn,2789
 tɛt ,4
strœyn ,1
 flɔŋ ,2
stʌʊ ,4457
 ʃu ,111
klɵkks,1
 sxɛɪdsx ,4
 zɪŋz ,28
 flɑx,11
krɛnk,2
 lɔs,2583
 ɛɪdk ,1
dʋɑɾ ,17
 foːn ,1351
 vɪl ,38
 sɔk,12
 vɛk ,15
 rɪl,804
 lœyd ,190
tɵl,282
aːh ,4125
stɔf,4152
 yr ,245
 zɔnd ,1
tɪr,16342
ɑspl ,2
stɑs,99
 kroːn,128
 spruf ,2
slɛk ,41
 sfaː ,195
vrum,6
 smɪz ,164
lshi,16
mɛlf,4
 bɛɪdz ,49
klɵbsh ,2
 brɑŋ,1
ljy ,4
ɛrnstlx,1
bøːn,11
mɑtx,255
 loːns,12
bʌʊx,98
ʃɑd ,23
 eː,38123
 dœyk,238
ɑɡ ,423
 bɛt,2812
 kɑnts ,11
ɪtx ,1002
fɑhn ,1
klɵb ,129
leːn,67226
klɪps,116
 sɪnh ,8
dɔwns,57
bɵp ,6
kreːts,57
 vɔlkt,48
hɵlst,17
 rɑz ,13
 mɑtlɣdh ,1
 skrœyp,2
 pɑss,60
jɛns,29
kɪt,1379
 klɪː ,167
 zuns,7
lɛnsh ,7
 mɔ ,3584
 drɪŋt,127
kurs,1266
dɔt,342
 sərsx ,12
 bɑksh ,2
mkɣeːk,1
lshɑk,8
 slœys,138
meːɣ ,8
trɑktʲ ,10
prɑn ,32
pɑndh ,2
 kaːj,1268
hoːd ,2
sxɛrf ,5
ljɵb ,1
ɣeːx,2
hoːk,181
 boːk,29
ʃɛʃ,16
puz ,2
 tyɾ ,4
hɛnd ,15
sɪɣ ,726
frœyt,886
 ʃɛk,370
fʌʊrts,1
ɑh ,762
lvkoː ,5
 fɪd ,3
irs,3522
 peːs,114
 jys,11
 stʌʊn,14
krøː,683
its ,6
 sɛln ,1
 ʋɛrpl,3
spoːf,1
 trɔx,24
 dirtʲ ,25
ɣrœys,14
 ɣrutʲ ,30
 ɣɛnblk,2
 fɑbr ,2
 rɑrx ,8
 frɛɪs,10
 ʃyt,237
kurdl ,1
 ɑfsx ,4
 lɛs ,202
 mɪlk ,71
ʋheːn,1
 liʃ,4
tʋaː,2440
 skɵsh ,1
naːsh ,31
brɛŋtʲ ,7
 ʋuf ,1
slɪŋk,56
 krɑst,63
 zɛvlx,1
feːst,10508
 ɣɛlx ,1
stɛl ,3621
klɔnt,168
ɣrɑp ,4384
stuft,1
bəwlj ,3
 lɛntst,1
fɛɪntʲ ,11
 krits,1
stɑklŋ,5
 jɑ ,245
sɛɪl,24
sʌʊp,5
 sxaːtʲ ,1
 kaːt ,3194
vɔlɣ ,1296
ndɑt,2
stroːp ,26
 ʋɛɪk,498
sproːkj ,17
knirtʲ ,1
 blik ,26
skroːp,12
wkny,1
 vɛstlx,4
zɑt ,119
naːfl,1
plɵŋ ,22
 ɑlm,24
 nʌʊx,82
 tɔw,707
strɑʋh ,19
 trɛnts,2
 oːks,3
dɛmpt,22
 sxunt,12
sxrɑm ,5
ɣɑjt ,4
 slɔx,2
 breːkt,834
 ɣɛɪl ,4
 kaːmh ,1
rɛm ,553
stul,3086
 nɑrk,2
raː,361955
brɛɪt,335
 sɑnd ,26
mɔj ,1
ɣraːj ,153
 toːx ,3
 tɑx,464
 plɪː ,3
 bid ,72
smɪ ,1098
 ɣɑjn,33
 pərx ,7
 drɛm ,20
 nɪːrt ,1
fʌʊlk ,57
 zɑnts,8
lɑj ,835
 faːn,27
 bɵp,5
mkkɑ ,43
 sxɑr,76
fɑkst,58
lɵk,23130
rip,1252
mkkvaː ,12
 tɛst ,50
 kroːntʲ ,2
 smɔlt,7
 mɪst,4921
mɵŋ,91
 vlut,1190
 nɪsʋ ,1
bloːst,62
 tɑmpt,1
 lɪfts,11
ɛtx,981
ʌʊdh ,86
rhɔ ,2
ɣʋɛɪ ,7
vreːt ,64
 rɑs ,34
 bɵrst,14
troːn,1311
ɣraːjh ,1
zɔn ,36933
 zaː,33243
fɪrm,36
 kɑts,111
hɔndsh ,6
drøːntʲ ,1
spryʊ,2
 ɛrlf,1
tuɣ ,1
koːlh ,57
ʋeːks,35
 rɛstʲ ,7
paːjɣ ,1
 tœyntʲ ,8
 lɑmts,1
skɑrs,65
hɑwn,1
sxɛɪds ,217
 dɪː ,40638
bɑsk,16
ksɪs,6
 pɔft,6
mɑnh ,454
ʃɔsh ,20
 snɔl,3
 urt,19
sɛhr,4
 dipt,51
ɣəɣ ,5
nɛph ,24
 bʌʊnt,35
 flœytʲ ,16
dskoː ,1
faː ,23894
kɵʃ ,3
hʌʊt,23248
 spɛks,10
ʃrik,1
sɔls,7
 baːr ,805
nɑxtzw ,1
ʃɑrm,3
